idx,frase,chars,wav_path,mp3_path,latencia_s,duracion_audio_s,rtf,cpu_promedio_%,ram_java_max_MB,samplerate,channels,error
1,"Hola, ¿cómo estás? ¿Listo para arrancar el día?",47,salida_f5_tts\frase_1.wav,,3.066,3.376,0.9082,301.0,560.8,16000,1,
2,El presente informe se encuentra sujeto a revisión.,51,salida_f5_tts\frase_2.wav,,1.8728,3.696,0.5067,286.7,584.35,16000,1,
3,"Che, ayer vi una peli increíble, después te cuento los detalles.",64,salida_f5_tts\frase_3.wav,,2.5285,4.992,0.5065,255.7,584.53,16000,1,
4,La fotosíntesis es el proceso mediante el cual las plantas convierten la energía solar en energía química.,106,salida_f5_tts\frase_4.wav,,3.8657,7.888,0.4901,198.9,643.59,16000,1,
5,"De acuerdo con la normativa vigente, se deberá presentar la documentación antes del viernes.",92,salida_f5_tts\frase_5.wav,,2.7267,6.24,0.437,340.9,643.76,16000,1,
6,"Era una tarde lluviosa en la ciudad, las luces de los autos se reflejaban en el asfalto mojado, y la gente caminaba rápido buscando refugio.",140,salida_f5_tts\frase_6.wav,,4.43,11.344,0.3905,243.7,696.52,16000,1,
7,"El modelo de aprendizaje profundo se entrenó con más de un millón de parámetros, optimizando su capacidad de generalización en tareas de reconocimiento de voz.",159,salida_f5_tts\frase_7.wav,,4.5709,11.376,0.4018,336.0,704.57,16000,1,
8,"Bueno, entonces nos vemos mañana a la misma hora, ¿te parece?",61,salida_f5_tts\frase_8.wav,,2.083,4.816,0.4325,432.2,712.0,16000,1,
9,El incumplimiento de las disposiciones establecidas en la Ley 24.557 podrá derivar en sanciones económicas proporcionales a la infracción.,138,salida_f5_tts\frase_9.wav,,4.3456,9.888,0.4395,515.3,716.97,16000,1,
10,"¿Sabías que el agua hierve a 100 grados Celsius a nivel del mar, pero a menor presión atmosférica la temperatura de ebullición disminuye?",137,salida_f5_tts\frase_10.wav,,4.2072,10.576,0.3978,218.4,728.97,16000,1,
