idx,frase,chars,wav_path,mp3_path,latencia_s,duracion_audio_s,rtf,cpu_promedio_%,ram_max_MB,samplerate,channels,error
1,"Hola, ¿cómo estás? ¿Listo para arrancar el día?",47,salida_piper\frase_1.wav,salida_piper\frase_1.mp3,5.3446,2.4033,2.2239,0.33,4.31,22050,1,
2,El presente informe se encuentra sujeto a revisión.,51,salida_piper\frase_2.wav,salida_piper\frase_2.mp3,3.6978,2.6239,1.4093,0.0,4.31,22050,1,
3,"Che, ayer vi una peli increíble, después te cuento los detalles.",64,salida_piper\frase_3.wav,salida_piper\frase_3.mp3,3.2681,3.1927,1.0236,0.54,4.29,22050,1,
4,La fotosíntesis es el proceso mediante el cual las plantas convierten la energía solar en energía química.,106,salida_piper\frase_4.wav,salida_piper\frase_4.mp3,5.0702,5.1897,0.977,0.0,4.3,22050,1,
5,"De acuerdo con la normativa vigente, se deberá presentar la documentación antes del viernes.",92,salida_piper\frase_5.wav,salida_piper\frase_5.mp3,4.5546,4.5047,1.0111,0.0,4.31,22050,1,
6,"Era una tarde lluviosa en la ciudad, las luces de los autos se reflejaban en el asfalto mojado, y la gente caminaba rápido buscando refugio.",140,salida_piper\frase_6.wav,salida_piper\frase_6.mp3,4.3217,6.8034,0.6352,0.42,4.31,22050,1,
7,"El modelo de aprendizaje profundo se entrenó con más de un millón de parámetros, optimizando su capacidad de generalización en tareas de reconocimiento de voz.",159,salida_piper\frase_7.wav,salida_piper\frase_7.mp3,4.5558,7.3956,0.616,0.41,4.31,22050,1,
8,"Bueno, entonces nos vemos mañana a la misma hora, ¿te parece?",61,salida_piper\frase_8.wav,salida_piper\frase_8.mp3,3.1996,3.0418,1.0519,0.0,4.31,22050,1,
9,El incumplimiento de las disposiciones establecidas en la Ley 24.557 podrá derivar en sanciones económicas proporcionales a la infracción.,138,salida_piper\frase_9.wav,salida_piper\frase_9.mp3,6.1383,7.6626,0.8011,0.0,4.31,22050,1,
10,"¿Sabías que el agua hierve a 100 grados Celsius a nivel del mar, pero a menor presión atmosférica la temperatura de ebullición disminuye?",137,salida_piper\frase_10.wav,salida_piper\frase_10.mp3,3.676,5.9791,0.6148,0.36,4.31,22050,1,
