idx,frase,chars,wav_path,mp3_path,latencia_s,duracion_audio_s,rtf,cpu_promedio_%,ram_max_MB,samplerate,channels,error
1,"Hola, ¿cómo estás? ¿Listo para arrancar el día?",47,salida_piper\frase_1.wav,salida_piper\frase_1.mp3,2.7628,2.4497,1.1278,0.65,4.23,22050,1,
2,El presente informe se encuentra sujeto a revisión.,51,salida_piper\frase_2.wav,salida_piper\frase_2.mp3,3.4381,2.5542,1.3461,0.53,4.23,22050,1,
3,"Che, ayer vi una peli increíble, después te cuento los detalles.",64,salida_piper\frase_3.wav,salida_piper\frase_3.mp3,3.1147,3.274,0.9513,0.0,4.23,22050,1,
4,La fotosíntesis es el proceso mediante el cual las plantas convierten la energía solar en energía química.,106,salida_piper\frase_4.wav,salida_piper\frase_4.mp3,3.3614,5.3406,0.6294,0.54,4.23,22050,1,
5,"De acuerdo con la normativa vigente, se deberá presentar la documentación antes del viernes.",92,salida_piper\frase_5.wav,salida_piper\frase_5.mp3,3.3634,4.3189,0.7788,0.0,4.23,22050,1,
6,"Era una tarde lluviosa en la ciudad, las luces de los autos se reflejaban en el asfalto mojado, y la gente caminaba rápido buscando refugio.",140,salida_piper\frase_6.wav,salida_piper\frase_6.mp3,3.6167,6.8615,0.5271,0.5,4.23,22050,1,
7,"El modelo de aprendizaje profundo se entrenó con más de un millón de parámetros, optimizando su capacidad de generalización en tareas de reconocimiento de voz.",159,salida_piper\frase_7.wav,salida_piper\frase_7.mp3,3.8154,7.3491,0.5192,0.48,4.23,22050,1,
8,"Bueno, entonces nos vemos mañana a la misma hora, ¿te parece?",61,salida_piper\frase_8.wav,salida_piper\frase_8.mp3,3.1738,3.0302,1.0474,0.0,4.23,22050,1,
9,El incumplimiento de las disposiciones establecidas en la Ley 24.557 podrá derivar en sanciones económicas proporcionales a la infracción.,138,salida_piper\frase_9.wav,salida_piper\frase_9.mp3,4.791,7.6974,0.6224,0.3,4.23,22050,1,
10,"¿Sabías que el agua hierve a 100 grados Celsius a nivel del mar, pero a menor presión atmosférica la temperatura de ebullición disminuye?",137,salida_piper\frase_10.wav,salida_piper\frase_10.mp3,3.3161,6.072,0.5461,0.0,4.22,22050,1,
